      Time        Ns        Nh        Nq        Tw
         1         0         0         0         0
         2         0         0         1         1
         3         1         0         1         1
         4         1         0         2         2
         5         1         1         3         4
         6         1         1         2         4
         7         1         1         3         5
         8         3         1         4         6
         9         3         1         4         6
        10         3         1         5         7
        11         4         1         5         7
        12         4         2         5         8
        13         4         2         6         9
        14         5         2         5         9
        15         5         4         6        10
        16         5         4         6        10
        17         5         6         6        11
        18         5         6         6        11
        19         5         6         6        12
        20         6         7         6        12
        21         6         8         7        13
        22         6         8         7        13
        23         6         8         7        14
        24         7         8         8        15
        25         8         9         8        15
        26         8         9         8        15
        27         8         9         9        16
        28         9         9        10        18
        29         9         9         9        18
        30         9         9         9        19
        31        11         9         9        19
        32        12         9         9        20
        33        13         9         9        20
        34        14         9         9        21
        35        15         9         9        21
        36        16         9         9        22
        37        17         9         9        22
        38        18         9        10        23
        39        19         9        10        23
        40        19         9        10        24
        41        20         9        10        24
        42        21         9        10        25
        43        22         9        10        25
        44        23         9        10        26
        45        24         9        10        26
        46        25         9        10        27
        47        26         9        10        27
        48        27         9        11        28
        49        28         9        11        28
        50        28         9        12        29
        51        29         9        12        29
        52        29         9        13        30
        53        30         9        13        30
        54        30         9        13        31
        55        31         9        13        31
        56        32         9        13        32
        57        33         9        13        32
        58        34         9        13        33
        59        35         9        13        33
        60        36         9        14        34
        61        37         9        14        34
        62        37         9        14        35
        63        38         9        14        35
        64        39         9        14        36
        65        40         9        14        36
        66        41         9        15        37
        67        42         9        15        37
        68        42         9        16        38
        69        43         9        16        38
        70        43         9        17        39
        71        44         9        17        39
        72        44         9        18        40
        73        45         9        18        40
        74        45         9        18        41
        75        46         9        18        41
        76        47         9        18        42
        77        48         9        18        42
        78        49         9        18        43
        79        50         9        18        43
        80        51         9        18        44
        81        52         9        18        44
        82        53         9        19        45
        83        54         9        19        45
        84        54         9        20        46
        85        55         9        20        46
        86        55         9        20        47
        87        56         9        20        47
        88        57         9        20        48
        89        58         9        20        48
        90        59         9        20        49
        91        60         9        20        49
        92        61         9        20        50
        93        62         9        20        50
        94        63         9        20        51
        95        64         9        20        51
        96        65         9        20        52
        97        66         9        20        52
        98        67         9        20        53
        99        68         9        20        53
       100        69         9        20        54
       101        70         9        20        54
       102        71         9        21        55
       103        72         9        21        55
       104        72         9        22        56
       105        73         9        22        56
       106        73         9        22        57
       107        74         9        22        57
       108        75         9        22        58
       109        76         9        22        58
       110        77         9        22        59
       111        78         9        22        59
       112        79         9        22        60
       113        80         9        22        60
       114        81         9        22        61
       115        82         9        22        61
       116        83         9        22        62
       117        84         9        22        62
       118        85         9        22        63
       119        86         9        22        63
       120        87         9        22        64
       121        88         9        22        64
       122        89         9        22        65
       123        90         9        22        65
       124        91         9        22        66
       125        92         9        22        66
       126        93         9        22        67
       127        94         9        22        67
       128        95         9        22        68
       129        96         9        22        68
       130        97         9        23        69
       131        98         9        23        69
       132        98         9        23        70
       133        99         9        23        70
       134       100         9        23        71
       135       101         9        23        71
       136       102         9        24        72
       137       103         9        24        72
       138       103         9        24        73
       139       104         9        24        73
       140       105         9        24        74
       141       106         9        24        74
       142       107         9        25        75
       143       108         9        25        75
       144       108         9        26        76
       145       109         9        26        76
       146       109         9        26        77
       147       110         9        26        77
       148       111         9        26        78
       149       112         9        26        78
       150       113         9        26        79
       151       114         9        26        79
       152       115         9        26        80
       153       116         9        26        80
       154       117         9        26        81
       155       118         9        26        81
       156       119         9        26        82
       157       120         9        26        82
       158       121         9        26        83
       159       122         9        26        83
       160       123         9        26        84
       161       124         9        26        84
       162       125         9        27        85
       163       126         9        27        85
       164       126         9        27        86
       165       127         9        27        86
       166       128         9        27        87
       167       129         9        27        87
       168       130         9        27        88
       169       131         9        27        88
       170       132         9        27        89
       171       133         9        27        89
       172       134         9        27        90
       173       135         9        27        90
       174       136         9        27        91
       175       137         9        27        91
       176       138         9        27        92
       177       139         9        27        92
       178       140         9        27        93
       179       141         9        27        93
       180       142         9        27        94
       181       143         9        27        94
       182       144         9        27        95
       183       145         9        27        95
       184       146         9        27        96
       185       147         9        27        96
       186       148         9        27        97
       187       149         9        27        97
       188       150         9        27        98
       189       151         9        27        98
       190       152         9        28        99
       191       153         9        28        99
       192       153         9        28       100
       193       154         9        28       100
       194       155         9        28       101
       195       156         9        28       101
       196       157         9        28       102
       197       158         9        28       102
       198       159         9        28       103
       199       160         9        28       103
       200       161         9        28       104
       201       162         9        28       104
       202       163         9        29       105
       203       164         9        29       105
       204       164         9        30       106
       205       165         9        30       106
       206       165         9        30       107
       207       166         9        30       107
       208       167         9        30       108
       209       168         9        30       108
       210       169         9        30       109
       211       170         9        30       109
       212       171         9        30       110
       213       172         9        30       110
       214       173         9        30       111
       215       174         9        30       111
       216       175         9        31       112
       217       176         9        31       112
       218       176         9        32       113
       219       177         9        32       113
       220       177         9        32       114
       221       178         9        32       114
       222       179         9        32       115
       223       180         9        32       115
       224       181         9        32       116
       225       182         9        32       116
       226       183         9        32       117
       227       184         9        32       117
       228       185         9        32       118
       229       186         9        32       118
       230       187         9        32       119
       231       188         9        32       119
       232       189         9        32       120
       233       190         9        32       120
       234       191         9        32       121
       235       192         9        32       121
       236       193         9        32       122
       237       194         9        32       122
       238       195         9        33       123
       239       196         9        33       123
       240       196         9        33       124
       241       197         9        33       124
       242       198         9        34       125
       243       199         9        34       125
       244       199         9        34       126
       245       200         9        34       126
       246       201         9        34       127
       247       202         9        34       127
       248       203         9        34       128
       249       204         9        34       128
