      Time        Ns        Nh        Nq        Tw
         1         0         0         0         0
         2         0         0         0         1
         3         1         0         0         1
         4         2         0         0         2
         5         2         2         1         4
         6         2         2         1         4
         7         2         2         2         5
         8         3         2         2         5
         9         3         2         3         6
        10         4         2         3         6
        11         4         2         4         7
        12         4         2         4         8
        13         4         4         5        10
        14         4         4         6        11
        15         4         5         6        12
        16         4         6         6        13
        17         4         6         7        14
        18         4         6         8        16
        19         4         6         7        16
        20         4         6         8        17
        21         6         6         8        17
        22         6         6         9        18
        23         7         6         9        18
        24         7         6        10        19
        25         8         6        10        19
        26         8         6        11        20
        27         9         6        11        20
        28         9         6        11        21
        29        10         6        11        21
        30        11         6        11        22
        31        12         6        11        22
        32        13         6        11        23
        33        14         6        11        23
        34        15         6        12        24
        35        16         6        12        24
        36        16         6        13        25
        37        17         6        13        25
        38        17         6        13        26
        39        18         6        13        26
        40        19         6        14        27
        41        20         6        14        27
        42        20         6        14        28
        43        21         6        14        28
        44        22         6        14        29
        45        23         6        14        29
        46        24         6        14        30
        47        25         6        14        30
        48        26         6        14        31
        49        27         6        14        31
        50        28         6        14        32
        51        29         6        14        32
        52        30         6        14        33
        53        31         6        14        33
        54        32         6        14        34
        55        33         6        14        34
        56        34         6        15        35
        57        35         6        15        35
        58        35         6        15        36
        59        36         6        15        36
        60        37         6        16        37
        61        38         6        16        37
        62        38         6        16        38
        63        39         6        16        38
        64        40         6        16        39
        65        41         6        16        39
        66        42         6        16        40
        67        43         6        16        40
        68        44         6        16        41
        69        45         6        16        41
        70        46         6        16        42
        71        47         6        16        42
        72        48         6        17        43
        73        49         6        17        43
        74        49         6        17        44
        75        50         6        17        44
        76        51         6        17        45
        77        52         6        17        45
        78        53         6        17        46
        79        54         6        17        46
        80        55         6        18        47
        81        56         6        18        47
        82        56         6        18        48
        83        57         6        18        48
        84        58         6        18        49
        85        59         6        18        49
        86        60         6        18        50
        87        61         6        18        50
        88        62         6        18        51
        89        63         6        18        51
        90        64         6        18        52
        91        65         6        18        52
        92        66         6        18        53
        93        67         6        18        53
        94        68         6        18        54
        95        69         6        18        54
        96        70         6        18        55
        97        71         6        18        55
        98        72         6        19        56
        99        73         6        19        56
       100        73         6        19        57
       101        74         6        19        57
       102        75         6        19        58
       103        76         6        19        58
       104        77         6        19        59
       105        78         6        19        59
       106        79         6        19        60
       107        80         6        19        60
       108        81         6        19        61
       109        82         6        19        61
       110        83         6        19        62
       111        84         6        19        62
       112        85         6        19        63
       113        86         6        19        63
       114        87         6        20        64
       115        88         6        20        64
       116        88         6        21        65
       117        89         6        21        65
       118        89         6        21        66
       119        90         6        21        66
       120        91         6        22        67
       121        92         6        22        67
       122        92         6        22        68
       123        93         6        22        68
       124        94         6        22        69
       125        95         6        22        69
       126        96         6        22        70
       127        97         6        22        70
       128        98         6        23        71
       129        99         6        23        71
       130        99         6        23        72
       131       100         6        23        72
       132       101         6        23        73
       133       102         6        23        73
       134       103         6        23        74
       135       104         6        23        74
       136       105         6        23        75
       137       106         6        23        75
       138       107         6        23        76
       139       108         6        23        76
       140       109         6        23        77
       141       110         6        23        77
       142       111         6        23        78
       143       112         6        23        78
       144       113         6        23        79
       145       114         6        23        79
       146       115         6        23        80
       147       116         6        23        80
       148       117         6        23        81
       149       118         6        23        81
       150       119         6        23        82
       151       120         6        23        82
       152       121         6        23        83
       153       122         6        23        83
       154       123         6        23        84
       155       124         6        23        84
       156       125         6        24        85
       157       126         6        24        85
       158       126         6        24        86
       159       127         6        24        86
       160       128         6        24        87
       161       129         6        24        87
       162       130         6        24        88
       163       131         6        24        88
       164       132         6        24        89
       165       133         6        24        89
       166       134         6        24        90
       167       135         6        24        90
       168       136         6        24        91
       169       137         6        24        91
       170       138         6        24        92
       171       139         6        24        92
       172       140         6        24        93
       173       141         6        24        93
       174       142         6        24        94
       175       143         6        24        94
       176       144         6        24        95
       177       145         6        24        95
       178       146         6        24        96
       179       147         6        24        96
       180       148         6        24        97
       181       149         6        24        97
       182       150         6        24        98
       183       151         6        24        98
       184       152         6        24        99
       185       153         6        24        99
       186       154         6        24       100
       187       155         6        24       100
       188       156         6        24       101
       189       157         6        24       101
       190       158         6        24       102
       191       159         6        24       102
       192       160         6        24       103
       193       161         6        24       103
       194       162         6        24       104
       195       163         6        24       104
       196       164         6        25       105
       197       165         6        25       105
       198       165         6        25       106
       199       166         6        25       106
       200       167         6        25       107
       201       168         6        25       107
       202       169         6        26       108
       203       170         6        26       108
       204       170         6        26       109
       205       171         6        26       109
       206       172         6        26       110
       207       173         6        26       110
       208       174         6        26       111
       209       175         6        26       111
       210       176         6        26       112
       211       177         6        26       112
       212       178         6        27       113
       213       179         6        27       113
       214       179         6        28       114
       215       180         6        28       114
       216       180         6        29       115
       217       181         6        29       115
       218       181         6        30       116
       219       182         6        30       116
       220       182         6        31       117
       221       183         6        31       117
       222       183         6        32       118
       223       184         6        32       118
       224       184         6        32       119
       225       185         6        32       119
       226       186         6        32       120
       227       187         6        32       120
       228       188         6        32       121
       229       189         6        32       121
       230       190         6        33       122
       231       191         6        33       122
       232       191         6        34       123
       233       192         6        34       123
       234       192         6        34       124
       235       193         6        34       124
       236       194         6        34       125
       237       195         6        34       125
       238       196         6        35       126
       239       197         6        35       126
       240       197         6        35       127
       241       198         6        35       127
       242       199         6        35       128
       243       200         6        35       128
       244       201         6        35       129
       245       202         6        35       129
       246       203         6        36       130
       247       204         6        36       130
       248       204         6        36       131
       249       205         6        36       131
       250       206         6        37       132
       251       207         6        37       132
       252       207         6        37       133
       253       208         6        37       133
       254       209         6        37       134
       255       210         6        37       134
       256       211         6        37       135
       257       212         6        37       135
       258       213         6        38       136
       259       214         6        38       136
       260       214         6        39       137
       261       215         6        39       137
       262       215         6        40       138
       263       216         6        40       138
       264       216         6        41       139
       265       217         6        41       139
       266       217         6        42       140
       267       218         6        42       140
       268       218         6        42       141
       269       219         6        42       141
       270       220         6        42       142
       271       221         6        42       142
       272       222         6        42       143
       273       223         6        42       143
       274       224         6        42       144
       275       225         6        42       144
       276       226         6        42       145
       277       227         6        42       145
       278       228         6        42       146
       279       229         6        42       146
       280       230         6        43       147
       281       231         6        43       147
       282       231         6        43       148
       283       232         6        43       148
       284       233         6        44       149
       285       234         6        44       149
       286       234         6        44       150
       287       235         6        44       150
       288       236         6        44       151
       289       237         6        44       151
       290       238         6        44       152
       291       239         6        44       152
       292       240         6        44       153
       293       241         6        44       153
       294       242         6        44       154
       295       243         6        44       154
       296       244         6        44       155
       297       245         6        44       155
       298       246         6        44       156
       299       247         6        44       156
       300       248         6        44       157
       301       249         6        44       157
       302       250         6        45       158
       303       251         6        45       158
       304       251         6        45       159
       305       252         6        45       159
       306       253         6        45       160
       307       254         6        45       160
       308       255         6        45       161
       309       256         6        45       161
       310       257         6        45       162
       311       258         6        45       162
       312       259         6        46       163
       313       260         6        46       163
       314       260         6        47       164
       315       261         6        47       164
       316       261         6        47       165
       317       262         6        47       165
       318       263         6        47       166
       319       264         6        47       166
       320       265         6        48       167
       321       266         6        48       167
       322       266         6        49       168
       323       267         6        49       168
       324       267         6        50       169
       325       268         6        50       169
       326       268         6        51       170
       327       269         6        51       170
       328       269         6        51       171
       329       270         6        51       171
       330       271         6        51       172
       331       272         6        51       172
       332       273         6        51       173
       333       274         6        51       173
       334       275         6        51       174
       335       276         6        51       174
       336       277         6        51       175
       337       278         6        51       175
       338       279         6        51       176
       339       280         6        51       176
       340       281         6        51       177
       341       282         6        51       177
       342       283         6        51       178
       343       284         6        51       178
       344       285         6        51       179
       345       286         6        51       179
       346       287         6        51       180
       347       288         6        51       180
       348       289         6        52       181
       349       290         6        52       181
       350       290         6        52       182
       351       291         6        52       182
       352       292         6        52       183
       353       293         6        52       183
       354       294         6        53       184
       355       295         6        53       184
       356       295         6        54       185
       357       296         6        54       185
       358       296         6        55       186
       359       297         6        55       186
       360       297         6        55       187
       361       298         6        55       187
       362       299         6        55       188
       363       300         6        55       188
       364       301         6        55       189
       365       302         6        55       189
       366       303         6        55       190
       367       304         6        55       190
       368       305         6        55       191
       369       306         6        55       191
       370       307         6        55       192
       371       308         6        55       192
       372       309         6        55       193
       373       310         6        55       193
       374       311         6        55       194
       375       312         6        55       194
       376       313         6        55       195
       377       314         6        55       195
       378       315         6        55       196
       379       316         6        55       196
       380       317         6        55       197
       381       318         6        55       197
       382       319         6        55       198
       383       320         6        55       198
       384       321         6        56       199
       385       322         6        56       199
       386       322         6        56       200
       387       323         6        56       200
       388       324         6        56       201
       389       325         6        56       201
       390       326         6        57       202
       391       327         6        57       202
       392       327         6        58       203
       393       328         6        58       203
       394       328         6        58       204
       395       329         6        58       204
       396       330         6        58       205
       397       331         6        58       205
       398       332         6        58       206
       399       333         6        58       206
       400       334         6        58       207
       401       335         6        58       207
       402       336         6        59       208
       403       337         6        59       208
       404       337         6        59       209
       405       338         6        59       209
       406       339         6        59       210
       407       340         6        59       210
       408       341         6        59       211
       409       342         6        59       211
       410       343         6        59       212
       411       344         6        59       212
       412       345         6        59       213
       413       346         6        59       213
       414       347         6        60       214
       415       348         6        60       214
       416       348         6        61       215
       417       349         6        61       215
       418       349         6        62       216
       419       350         6        62       216
       420       350         6        62       217
       421       351         6        62       217
       422       352         6        63       218
       423       353         6        63       218
       424       353         6        64       219
       425       354         6        64       219
       426       354         6        64       220
       427       355         6        64       220
       428       356         6        64       221
       429       357         6        64       221
       430       358         6        64       222
       431       359         6        64       222
       432       360         6        64       223
       433       361         6        64       223
       434       362         6        65       224
       435       363         6        65       224
       436       363         6        65       225
       437       364         6        65       225
       438       365         6        65       226
       439       366         6        65       226
       440       367         6        65       227
       441       368         6        65       227
       442       369         6        65       228
       443       370         6        65       228
       444       371         6        65       229
       445       372         6        65       229
       446       373         6        65       230
       447       374         6        65       230
       448       375         6        65       231
       449       376         6        65       231
       450       377         6        65       232
       451       378         6        65       232
       452       379         6        66       233
       453       380         6        66       233
       454       380         6        66       234
       455       381         6        66       234
       456       382         6        67       235
       457       383         6        67       235
       458       383         6        68       236
       459       384         6        68       236
       460       384         6        68       237
       461       385         6        68       237
       462       386         6        69       238
       463       387         6        69       238
       464       387         6        69       239
       465       388         6        69       239
       466       389         6        69       240
       467       390         6        69       240
       468       391         6        70       241
       469       392         6        70       241
       470       392         6        70       242
       471       393         6        70       242
       472       394         6        70       243
       473       395         6        70       243
       474       396         6        70       244
       475       397         6        70       244
       476       398         6        71       245
       477       399         6        71       245
       478       399         6        72       246
       479       400         6        72       246
       480       400         6        73       247
       481       401         6        73       247
       482       401         6        73       248
       483       402         6        73       248
       484       403         6        73       249
       485       404         6        73       249
       486       405         6        73       250
       487       406         6        73       250
       488       407         6        73       251
       489       408         6        73       251
       490       409         6        73       252
       491       410         6        73       252
       492       411         6        74       253
       493       412         6        74       253
       494       412         6        74       254
       495       413         6        74       254
       496       414         6        74       255
       497       415         6        74       255
       498       416         6        74       256
       499       417         6        74       256
       500       418         6        74       257
       501       419         6        74       257
       502       420         6        74       258
       503       421         6        74       258
       504       422         6        75       259
       505       423         6        75       259
       506       423         6        76       260
       507       424         6        76       260
       508       424         6        76       261
       509       425         6        76       261
       510       426         6        77       262
       511       427         6        77       262
       512       427         6        78       263
       513       428         6        78       263
       514       428         6        79       264
       515       429         6        79       264
       516       429         6        80       265
       517       430         6        80       265
       518       430         6        80       266
       519       431         6        80       266
       520       432         6        80       267
       521       433         6        80       267
       522       434         6        80       268
       523       435         6        80       268
       524       436         6        80       269
       525       437         6        80       269
       526       438         6        80       270
       527       439         6        80       270
       528       440         6        80       271
       529       441         6        80       271
       530       442         6        81       272
       531       443         6        81       272
       532       443         6        81       273
       533       444         6        81       273
       534       445         6        82       274
       535       446         6        82       274
       536       446         6        82       275
       537       447         6        82       275
       538       448         6        83       276
       539       449         6        83       276
       540       449         6        83       277
       541       450         6        83       277
       542       451         6        84       278
       543       452         6        84       278
       544       452         6        84       279
       545       453         6        84       279
       546       454         6        85       280
       547       455         6        85       280
       548       455         6        85       281
       549       456         6        85       281
       550       457         6        85       282
       551       458         6        85       282
       552       459         6        85       283
       553       460         6        85       283
       554       461         6        86       284
       555       462         6        86       284
       556       462         6        86       285
       557       463         6        86       285
       558       464         6        87       286
       559       465         6        87       286
       560       465         6        87       287
       561       466         6        87       287
       562       467         6        87       288
       563       468         6        87       288
       564       469         6        87       289
       565       470         6        87       289
       566       471         6        88       290
       567       472         6        88       290
       568       472         6        88       291
       569       473         6        88       291
       570       474         6        89       292
       571       475         6        89       292
       572       475         6        89       293
       573       476         6        89       293
       574       477         6        90       294
       575       478         6        90       294
       576       478         6        90       295
       577       479         6        90       295
       578       480         6        90       296
       579       481         6        90       296
       580       482         6        91       297
       581       483         6        91       297
       582       483         6        91       298
       583       484         6        91       298
       584       485         6        91       299
       585       486         6        91       299
       586       487         6        92       300
       587       488         6        92       300
       588       488         6        92       301
       589       489         6        92       301
       590       490         6        92       302
       591       491         6        92       302
       592       492         6        92       303
       593       493         6        92       303
       594       494         6        93       304
       595       495         6        93       304
       596       495         6        93       305
       597       496         6        93       305
       598       497         6        93       306
       599       498         6        93       306
       600       499         6        93       307
       601       500         6        93       307
       602       501         6        93       308
       603       502         6        93       308
       604       503         6        93       309
       605       504         6        93       309
       606       505         6        93       310
       607       506         6        93       310
       608       507         6        93       311
       609       508         6        93       311
       610       509         6        93       312
       611       510         6        93       312
       612       511         6        94       313
       613       512         6        94       313
       614       512         6        95       314
       615       513         6        95       314
       616       513         6        96       315
       617       514         6        96       315
       618       514         6        96       316
       619       515         6        96       316
       620       516         6        97       317
       621       517         6        97       317
       622       517         6        98       318
       623       518         6        98       318
       624       518         6        98       319
       625       519         6        98       319
       626       520         6        99       320
       627       521         6        99       320
       628       521         6       100       321
       629       522         6       100       321
       630       522         6       100       322
       631       523         6       100       322
       632       524         6       100       323
       633       525         6       100       323
       634       526         6       100       324
       635       527         6       100       324
       636       528         6       100       325
       637       529         6       100       325
       638       530         6       100       326
       639       531         6       100       326
       640       532         6       100       327
       641       533         6       100       327
       642       534         6       101       328
       643       535         6       101       328
       644       535         6       102       329
       645       536         6       102       329
       646       536         6       102       330
       647       537         6       102       330
       648       538         6       102       331
       649       539         6       102       331
       650       540         6       103       332
       651       541         6       103       332
       652       541         6       104       333
       653       542         6       104       333
       654       542         6       104       334
       655       543         6       104       334
       656       544         6       104       335
       657       545         6       104       335
       658       546         6       104       336
       659       547         6       104       336
       660       548         6       104       337
       661       549         6       104       337
       662       550         6       105       338
       663       551         6       105       338
       664       551         6       106       339
       665       552         6       106       339
       666       552         6       106       340
       667       553         6       106       340
       668       554         6       106       341
       669       555         6       106       341
       670       556         6       106       342
       671       557         6       106       342
       672       558         6       106       343
       673       559         6       106       343
       674       560         6       106       344
       675       561         6       106       344
       676       562         6       107       345
       677       563         6       107       345
       678       563         6       107       346
       679       564         6       107       346
       680       565         6       107       347
       681       566         6       107       347
       682       567         6       107       348
       683       568         6       107       348
       684       569         6       107       349
       685       570         6       107       349
       686       571         6       107       350
       687       572         6       107       350
       688       573         6       107       351
       689       574         6       107       351
       690       575         6       107       352
       691       576         6       107       352
       692       577         6       108       353
       693       578         6       108       353
       694       578         6       108       354
       695       579         6       108       354
       696       580         6       109       355
       697       581         6       109       355
       698       581         6       110       356
       699       582         6       110       356
       700       582         6       110       357
       701       583         6       110       357
       702       584         6       111       358
       703       585         6       111       358
       704       585         6       111       359
       705       586         6       111       359
       706       587         6       112       360
       707       588         6       112       360
       708       588         6       112       361
       709       589         6       112       361
       710       590         6       112       362
       711       591         6       112       362
       712       592         6       112       363
       713       593         6       112       363
       714       594         6       112       364
       715       595         6       112       364
       716       596         6       112       365
       717       597         6       112       365
       718       598         6       112       366
       719       599         6       112       366
       720       600         6       112       367
       721       601         6       112       367
       722       602         6       113       368
       723       603         6       113       368
       724       603         6       113       369
       725       604         6       113       369
       726       605         6       113       370
       727       606         6       113       370
       728       607         6       113       371
       729       608         6       113       371
       730       609         6       113       372
       731       610         6       113       372
       732       611         6       113       373
       733       612         6       113       373
       734       613         6       113       374
       735       614         6       113       374
       736       615         6       113       375
       737       616         6       113       375
       738       617         6       114       376
       739       618         6       114       376
       740       618         6       114       377
       741       619         6       114       377
       742       620         6       114       378
       743       621         6       114       378
       744       622         6       115       379
       745       623         6       115       379
       746       623         6       116       380
       747       624         6       116       380
       748       624         6       117       381
       749       625         6       117       381
       750       625         6       117       382
       751       626         6       117       382
       752       627         6       117       383
       753       628         6       117       383
       754       629         6       117       384
       755       630         6       117       384
       756       631         6       117       385
       757       632         6       117       385
       758       633         6       118       386
       759       634         6       118       386
       760       634         6       118       387
       761       635         6       118       387
       762       636         6       119       388
       763       637         6       119       388
       764       637         6       119       389
       765       638         6       119       389
       766       639         6       120       390
       767       640         6       120       390
       768       640         6       120       391
       769       641         6       120       391
       770       642         6       120       392
       771       643         6       120       392
       772       644         6       120       393
       773       645         6       120       393
       774       646         6       120       394
       775       647         6       120       394
       776       648         6       120       395
       777       649         6       120       395
       778       650         6       121       396
       779       651         6       121       396
       780       651         6       121       397
       781       652         6       121       397
       782       653         6       121       398
       783       654         6       121       398
       784       655         6       121       399
       785       656         6       121       399
       786       657         6       121       400
       787       658         6       121       400
       788       659         6       121       401
       789       660         6       121       401
       790       661         6       121       402
       791       662         6       121       402
       792       663         6       122       403
       793       664         6       122       403
       794       664         6       122       404
       795       665         6       122       404
       796       666         6       122       405
       797       667         6       122       405
       798       668         6       122       406
       799       669         6       122       406
       800       670         6       122       407
       801       671         6       122       407
       802       672         6       123       408
       803       673         6       123       408
       804       673         6       124       409
       805       674         6       124       409
       806       674         6       125       410
       807       675         6       125       410
       808       675         6       126       411
       809       676         6       126       411
       810       676         6       127       412
       811       677         6       127       412
       812       677         6       128       413
       813       678         6       128       413
       814       678         6       128       414
       815       679         6       128       414
       816       680         6       128       415
       817       681         6       128       415
       818       682         6       128       416
       819       683         6       128       416
       820       684         6       128       417
       821       685         6       128       417
       822       686         6       128       418
       823       687         6       128       418
       824       688         6       128       419
       825       689         6       128       419
       826       690         6       128       420
       827       691         6       128       420
       828       692         6       129       421
       829       693         6       129       421
       830       693         6       129       422
       831       694         6       129       422
       832       695         6       130       423
       833       696         6       130       423
       834       696         6       131       424
       835       697         6       131       424
       836       697         6       131       425
       837       698         6       131       425
       838       699         6       131       426
       839       700         6       131       426
       840       701         6       131       427
       841       702         6       131       427
       842       703         6       131       428
       843       704         6       131       428
       844       705         6       132       429
       845       706         6       132       429
       846       706         6       133       430
       847       707         6       133       430
       848       707         6       133       431
       849       708         6       133       431
       850       709         6       133       432
       851       710         6       133       432
       852       711         6       134       433
       853       712         6       134       433
       854       712         6       135       434
       855       713         6       135       434
       856       713         6       136       435
       857       714         6       136       435
       858       714         6       137       436
       859       715         6       137       436
       860       715         6       138       437
       861       716         6       138       437
       862       716         6       138       438
       863       717         6       138       438
       864       718         6       139       439
       865       719         6       139       439
       866       719         6       140       440
       867       720         6       140       440
       868       720         6       141       441
       869       721         6       141       441
       870       721         6       141       442
       871       722         6       141       442
       872       723         6       141       443
       873       724         6       141       443
       874       725         6       141       444
       875       726         6       141       444
       876       727         6       141       445
       877       728         6       141       445
       878       729         6       141       446
       879       730         6       141       446
       880       731         6       141       447
       881       732         6       141       447
       882       733         6       142       448
       883       734         6       142       448
       884       734         6       143       449
       885       735         6       143       449
       886       735         6       143       450
       887       736         6       143       450
       888       737         6       143       451
       889       738         6       143       451
       890       739         6       144       452
       891       740         6       144       452
       892       740         6       144       453
       893       741         6       144       453
       894       742         6       144       454
       895       743         6       144       454
       896       744         6       145       455
       897       745         6       145       455
       898       745         6       146       456
       899       746         6       146       456
       900       746         6       147       457
       901       747         6       147       457
       902       747         6       148       458
       903       748         6       148       458
       904       748         6       148       459
       905       749         6       148       459
       906       750         6       149       460
       907       751         6       149       460
       908       751         6       149       461
       909       752         6       149       461
       910       753         6       150       462
       911       754         6       150       462
       912       754         6       150       463
       913       755         6       150       463
       914       756         6       150       464
       915       757         6       150       464
       916       758         6       151       465
       917       759         6       151       465
       918       759         6       151       466
       919       760         6       151       466
       920       761         6       152       467
       921       762         6       152       467
       922       762         6       152       468
       923       763         6       152       468
       924       764         6       153       469
       925       765         6       153       469
       926       765         6       153       470
       927       766         6       153       470
       928       767         6       153       471
       929       768         6       153       471
       930       769         6       153       472
       931       770         6       153       472
       932       771         6       154       473
       933       772         6       154       473
       934       772         6       154       474
       935       773         6       154       474
       936       774         6       154       475
       937       775         6       154       475
       938       776         6       154       476
       939       777         6       154       476
       940       778         6       154       477
       941       779         6       154       477
       942       780         6       155       478
       943       781         6       155       478
       944       781         6       156       479
       945       782         6       156       479
       946       782         6       156       480
       947       783         6       156       480
       948       784         6       157       481
       949       785         6       157       481
       950       785         6       157       482
       951       786         6       157       482
       952       787         6       157       483
       953       788         6       157       483
       954       789         6       157       484
       955       790         6       157       484
       956       791         6       157       485
       957       792         6       157       485
       958       793         6       157       486
       959       794         6       157       486
       960       795         6       157       487
       961       796         6       157       487
       962       797         6       157       488
       963       798         6       157       488
       964       799         6       157       489
       965       800         6       157       489
       966       801         6       158       490
       967       802         6       158       490
       968       802         6       159       491
       969       803         6       159       491
       970       803         6       160       492
       971       804         6       160       492
       972       804         6       161       493
       973       805         6       161       493
       974       805         6       161       494
       975       806         6       161       494
       976       807         6       162       495
       977       808         6       162       495
       978       808         6       163       496
       979       809         6       163       496
       980       809         6       163       497
       981       810         6       163       497
       982       811         6       164       498
       983       812         6       164       498
       984       812         6       165       499
       985       813         6       165       499
       986       813         6       165       500
       987       814         6       165       500
       988       815         6       165       501
       989       816         6       165       501
       990       817         6       165       502
       991       818         6       165       502
       992       819         6       166       503
       993       820         6       166       503
       994       820         6       166       504
       995       821         6       166       504
       996       822         6       166       505
       997       823         6       166       505
       998       824         6       167       506
       999       825         6       167       506
      1000       825         6       167       507
